##### start data
#F Ni_300mesh_2-13_NISTsi_nor.gr
#D Wed May  3 11:48:27 2006
#C 
#S 1    G(r)
#D 
#L r(A)    G(r)    d_r    d_Gr
   8.800000e-01    -1.000482e+00    -6.635043e-01     4.945070e-04  
   8.900000e-01    -1.066470e+00    -6.710442e-01     4.812838e-04  
   9.000000e-01    -1.138722e+00    -6.785840e-01     4.655623e-04  
   9.100000e-01    -1.213494e+00    -6.861238e-01     4.520460e-04  
   9.200000e-01    -1.286651e+00    -6.936636e-01     4.450330e-04  
   9.300000e-01    -1.353990e+00    -7.012034e-01     4.467605e-04  
   9.400000e-01    -1.411572e+00    -7.087433e-01     4.564024e-04  
   9.500000e-01    -1.456038e+00    -7.162831e-01     4.705111e-04  
   9.600000e-01    -1.484877e+00    -7.238229e-01     4.845394e-04  
   9.700000e-01    -1.496639e+00    -7.313627e-01     4.944074e-04  
   9.800000e-01    -1.491055e+00    -7.389026e-01     4.975070e-04  
   9.900000e-01    -1.469082e+00    -7.464424e-01     4.931463e-04  
   1.000000e-00    -1.432844e+00    -7.539822e-01     4.826082e-04  
   1.010000e+00    -1.385490e+00    -7.615220e-01     4.688931e-04  
   1.020000e+00    -1.330966e+00    -7.690618e-01     4.560760e-04  
   1.030000e+00    -1.273735e+00    -7.766017e-01     4.481795e-04  
   1.040000e+00    -1.218445e+00    -7.841415e-01     4.477357e-04  
   1.050000e+00    -1.169590e+00    -7.916813e-01     4.547156e-04  
   1.060000e+00    -1.131171e+00    -7.992211e-01     4.665783e-04  
   1.070000e+00    -1.106404e+00    -8.067610e-01     4.794043e-04  
   1.080000e+00    -1.097469e+00    -8.143008e-01     4.893247e-04  
   1.090000e+00    -1.105352e+00    -8.218406e-01     4.935845e-04  
   1.100000e+00    -1.129763e+00    -8.293804e-01     4.910962e-04  
   1.110000e+00    -1.169153e+00    -8.369202e-01     4.825919e-04  
   1.120000e+00    -1.220829e+00    -8.444601e-01     4.704600e-04  
   1.130000e+00    -1.281150e+00    -8.519999e-01     4.582359e-04  
   1.140000e+00    -1.345796e+00    -8.595397e-01     4.496721e-04  
   1.150000e+00    -1.410089e+00    -8.670795e-01     4.474833e-04  
   1.160000e+00    -1.469347e+00    -8.746194e-01     4.522631e-04  
   1.170000e+00    -1.519231e+00    -8.821592e-01     4.622549e-04  
   1.180000e+00    -1.556075e+00    -8.896990e-01     4.741504e-04  
   1.190000e+00    -1.577165e+00    -8.972388e-01     4.843578e-04  
   1.200000e+00    -1.580951e+00    -9.047786e-01     4.900840e-04  
   1.210000e+00    -1.567163e+00    -9.123185e-01     4.899715e-04  
   1.220000e+00    -1.536850e+00    -9.198583e-01     4.843289e-04  
   1.230000e+00    -1.492303e+00    -9.273981e-01     4.750324e-04  
   1.240000e+00    -1.436896e+00    -9.349379e-01     4.650975e-04  
   1.250000e+00    -1.374845e+00    -9.424778e-01     4.578784e-04  
   1.260000e+00    -1.310898e+00    -9.500176e-01     4.559730e-04  
   1.270000e+00    -1.249988e+00    -9.575574e-01     4.602210e-04  
   1.280000e+00    -1.196875e+00    -9.650972e-01     4.693638e-04  
   1.290000e+00    -1.155790e+00    -9.726370e-01     4.805939e-04  
   1.300000e+00    -1.130124e+00    -9.801769e-01     4.906224e-04  
   1.310000e+00    -1.122176e+00    -9.877167e-01     4.966972e-04  
   1.320000e+00    -1.132983e+00    -9.952565e-01     4.972747e-04  
   1.330000e+00    -1.162236e+00    -1.002796e+00     4.923192e-04  
   1.340000e+00    -1.208302e+00    -1.010336e+00     4.832901e-04  
   1.350000e+00    -1.268341e+00    -1.017876e+00     4.728242e-04  
   1.360000e+00    -1.338509e+00    -1.025416e+00     4.640827e-04  
   1.370000e+00    -1.414242e+00    -1.032956e+00     4.597936e-04  
   1.380000e+00    -1.490584e+00    -1.040495e+00     4.612659e-04  
   1.390000e+00    -1.562549e+00    -1.048035e+00     4.678723e-04  
   1.400000e+00    -1.625486e+00    -1.055575e+00     4.773332e-04  
   1.410000e+00    -1.675414e+00    -1.063115e+00     4.866143e-04  
